| Job           |   no |   yes |   Total |   % no |   % yes |   % Total |
|:--------------|-----:|------:|--------:|-------:|--------:|----------:|
| admin.        |  879 |   133 |    1012 |  86.86 |   13.14 |       100 |
| blue-collar   |  823 |    61 |     884 |  93.1  |    6.9  |       100 |
| entrepreneur  |  140 |     8 |     148 |  94.59 |    5.41 |       100 |
| housemaid     |   99 |    11 |     110 |  90    |   10    |       100 |
| management    |  294 |    30 |     324 |  90.74 |    9.26 |       100 |
| retired       |  128 |    38 |     166 |  77.11 |   22.89 |       100 |
| self-employed |  146 |    13 |     159 |  91.82 |    8.18 |       100 |
| services      |  358 |    35 |     393 |  91.09 |    8.91 |       100 |
| student       |   63 |    19 |      82 |  76.83 |   23.17 |       100 |
| technician    |  611 |    80 |     691 |  88.42 |   11.58 |       100 |
| unemployed    |   92 |    19 |     111 |  82.88 |   17.12 |       100 |
| unknown       |   35 |     4 |      39 |  89.74 |   10.26 |       100 |
| Total         | 3668 |   451 |    4119 |  89.05 |   10.95 |       100 |
