Numerical Variable Analysis Report
========================================================================================================================


### Analysis for 'age' by y ###
| Statistic          |     Overall |         y: no |     y: yes |
|--------------------|-------------|---------------|------------|
| Count              | 4119        | 3668          | 451        |
| Mean               |   40.1136   |   39.8953     |  41.8891   |
| Trimmed Mean (IQR) |   39.7632   |   39.7001     |  41.5123   |
| MAD                |    8.46618  |    8.17488    |  10.8384   |
| Std                |   10.3134   |    9.86547    |  13.293    |
| Min                |   18        |   18          |  18        |
| 25%                |   32        |   32          |  31        |
| 50%                |   38        |   38          |  39        |
| 75%                |   47        |   47          |  51        |
| Max                |   88        |   88          |  86        |
| Mode               |   32        |   32          |  31        |
| Range              |   70        |   70          |  68        |
| IQR                |   15        |   15          |  20        |
| Variance           |  106.365    |   97.3275     | 176.703    |
| Skewness           |    0.715694 |    0.588031   |   0.921661 |
| Kurtosis           |    0.43813  |    0.00147792 |   0.527226 |


### Analysis for 'duration' by y ###
| Statistic          |     Overall |      y: no |       y: yes |
|--------------------|-------------|------------|--------------|
| Count              |  4119       |  3668      |    451       |
| Mean               |   256.788   |   219.41   |    560.787   |
| Trimmed Mean (IQR) |   203.578   |   181.774  |    528.459   |
| MAD                |   168.38    |   133.231  |    309.118   |
| Std                |   254.704   |   198.256  |    411.538   |
| Min                |     0       |     0      |     63       |
| 25%                |   103       |    96      |    255.5     |
| 50%                |   181       |   165      |    458       |
| 75%                |   317       |   274      |    761       |
| Max                |  3643       |  3253      |   3643       |
| Mode               |    77       |    77      |    458       |
| Range              |  3643       |  3253      |   3580       |
| IQR                |   214       |   178      |    505.5     |
| Variance           | 64874       | 39305.6    | 169363       |
| Skewness           |     3.29478 |     3.2912 |      2.05804 |
| Kurtosis           |    20.7619  |    23.9083 |      8.57114 |


### Analysis for 'campaign' by y ###
| Statistic          |    Overall |      y: no |     y: yes |
|--------------------|------------|------------|------------|
| Count              | 4119       | 3668       | 451        |
| Mean               |    2.53727 |    2.60578 |   1.98004  |
| Trimmed Mean (IQR) |    2.04866 |    2.0695  |   1.78472  |
| MAD                |    1.58774 |    1.65662 |   0.951795 |
| Std                |    2.56816 |    2.67083 |   1.37017  |
| Min                |    1       |    1       |   1        |
| 25%                |    1       |    1       |   1        |
| 50%                |    2       |    2       |   2        |
| 75%                |    3       |    3       |   2.5      |
| Max                |   35       |   35       |  11        |
| Mode               |    1       |    1       |   1        |
| Range              |   34       |   34       |  10        |
